Subj,Block,Type,AUC
sub-11,Block1,Fix1,0.7964
sub-12,Block1,Fix1,0.807
sub-21,Block1,Fix1,0.7112
sub-41,Block1,Fix1,0.7018
sub-42,Block1,Fix1,0.669
sub-11,Block1,Fix2,0.9492
sub-12,Block1,Fix2,0.8713
sub-21,Block1,Fix2,0.7962
sub-41,Block1,Fix2,0.574
sub-42,Block1,Fix2,0.49
sub-11,Block1,Cond,0.723
sub-12,Block1,Cond,0.5304
sub-21,Block1,Cond,0.5811
sub-41,Block1,Cond,0.578
sub-42,Block1,Cond,0.5781
sub-11,Block2,Fix1,0.566
sub-12,Block2,Fix1,0.7427
sub-21,Block2,Fix1,0.6652
sub-41,Block2,Fix1,0.5729
sub-42,Block2,Fix1,0.6544
sub-11,Block2,Fix2,0.8251
sub-12,Block2,Fix2,0.6433
sub-21,Block2,Fix2,0.7455
sub-41,Block2,Fix2,0.4508
sub-42,Block2,Fix2,0.4826
sub-11,Block2,Cond,0.7069
sub-12,Block2,Cond,0.7386
sub-21,Block2,Cond,0.5078
sub-41,Block2,Cond,0.649
sub-42,Block2,Cond,0.5656
sub-11,Block3,Fix1,0.75
sub-12,Block3,Fix1,0.6295
sub-21,Block3,Fix1,0.6358
sub-41,Block3,Fix1,0.8061
sub-42,Block3,Fix1,0.5385
sub-11,Block3,Fix2,0.5636
sub-12,Block3,Fix2,0.724
sub-21,Block3,Fix2,0.7463
sub-41,Block3,Fix2,0.6285
sub-42,Block3,Fix2,0.5432
sub-11,Block3,Cond,0.6327
sub-12,Block3,Cond,0.6389
sub-21,Block3,Cond,0.6962
sub-41,Block3,Cond,0.5401
sub-42,Block3,Cond,0.552
